Naslov,Filename,ImeKnjige,ImeAvtorja,Tip
https://www.gutenberg.org/ebooks/604.txt.utf-8,ELLA_GulliverOfMars,Gulliver of Mars,Edwin Lester Linden Arnold,Fantasy
https://www.gutenberg.org/ebooks/420.txt.utf-8,LFB_DorothyAndTheWizardInOz,Dorothy and the Wizard in Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/517.txt.utf-8,LFB_TheEmeraldCityOfOz,The Emerald City of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/518.txt.utf-8,LFB_TheEnchantedIslandOfYew,The Enchanted Island of Yew,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/961.txt.utf-8,LFB_GlindaOfOz,Glinda of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/959.txt.utf-8,LFB_TheLostPrincessOfOz,The Lost Princess of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/419.txt.utf-8,LFB_TheMagicOfOz,The Magic of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/54.txt.utf-8,LFB_TheMarvelousLandOfOz,The Marvelous Land of Oz,L. Frank Baum,Fantasy
https://www.gutenberg.org/ebooks/288.txt.utf-8,JBC_TheCertainHour(DizainDesPoëtes),The Certain Hour (Dizain des Poëtes),James Branch Cabell,Fantasy
https://www.gutenberg.org/ebooks/10882.txt.utf-8,JBC_TheEagle'sShadow,The Eagle's Shadow,James Branch Cabell,Fantasy
https://www.gutenberg.org/ebooks/19445.txt.utf-8,HBP_Omnilingual,Omnilingual,H. Beam Piper,Science Fiction
https://www.gutenberg.org/ebooks/10002.txt.utf-8,WHH_TheHouseOnTheBorderland,The House on the Borderland,William Hope Hodgson,Science Fiction
https://www.gutenberg.org/ebooks/41481.txt.utf-8,RCEA_AstoundingStoriesOfSuper-ScienceJanuary1930,Astounding Stories of Super-Science January 1930,Ray Cummings et al.,Science Fiction
https://www.gutenberg.org/ebooks/28617.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceFebruary1930,Astounding Stories of Super-Science February 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29607.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,March1930","Astounding Stories of Super-Science, March 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29390.txt.utf-8,AP_AstoundingStoriesOfSuper-ScienceApril1930,Astounding Stories of Super-Science April 1930,Anthony Pelcher,Science Fiction
https://www.gutenberg.org/ebooks/29809.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,May,1930","Astounding Stories of Super-Science, May, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29848.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,June,1930","Astounding Stories of Super-Science, June, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29198.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceJuly1930,Astounding Stories of Super-Science July 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29768.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,August1930","Astounding Stories of Super-Science, August 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29255.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceSeptember1930,Astounding Stories of Super-Science September 1930,Various,Science Fiction
https://www.gutenberg.org/ebooks/29882.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,October,1930","Astounding Stories of Super-Science, October, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/29919.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,November,1930","Astounding Stories of Super-Science, November, 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/30691.txt.utf-8,"V_AstoundingStoriesOfSuper-Science,December1930","Astounding Stories of Super-Science, December 1930",Various,Science Fiction
https://www.gutenberg.org/ebooks/30177.txt.utf-8,V_AstoundingStoriesOfSuper-ScienceJanuary1931,Astounding Stories of Super-Science January 1931,Various,Science Fiction
https://www.gutenberg.org/ebooks/30452.txt.utf-8,"V_AstoundingStories,April,1931","Astounding Stories,  April, 1931",Various,Science Fiction
https://www.gutenberg.org/ebooks/30532.txt.utf-8,"V_AstoundingStories,May,1931","Astounding Stories, May, 1931",Various,Science Fiction
